نماد	p/e	بازار	گروه
اعتلا	6.06	2	56
وايرا	13.25	4	56
وپارس	-4.66	1	57
وپاسار	4.92	1	57
وپست	-3.93	1	57
وكار	10.83	1	57
سامان	1.82	4	57
وگردش	2.65	4	57
وخاور	4.81	1	57
وبصادر	-6.43	1	57
ونوين	-4.04	1	57
توسعه	12.09	4	57
وآيند	14.15	4	57
وسينا	15.75	1	57
وتجارت	15.55	1	57
وشهر	-0.57	4	57
وسالت	-12.85	4	57
سمايه	-0.07	4	57
وبملت	2	1	57
ولغدر	16.3	1	58
وايران	6.97	1	58
وليز	-29.82	1	58
ولساپا	10.65	1	58
ولملت	7.12	1	58
ولصنم	9.69	1	58
ولبهمن	13.07	2	58
حكشتي	20.91	1	60
حپارسا	24.64	2	60
حبندر	2.23	4	60
حسينا	7.44	2	60
حپترو	77.9	1	60
حرهشا	26.85	4	60
حتوكا	83.57	1	60
حسير	17.68	2	60
حفارس	-307.67	1	60
حريل	17.52	2	60
حتايد	6.68	1	60
حآسا	49.84	2	60
توريل	8.97	2	60
حخزر	13	2	61
حاريا	-6.45	4	61
اخابر	7.78	1	64
همراه	7.59	1	64
ولانا	56.11	4	65
ولشرق	10.34	2	65
واحيا	11.24	4	65
وارس	14.54	4	65
واحصا	48.78	4	65
ولتجار	-102.37	4	65
ولراز	-96.93	4	65
وثنو	16.04	4	65
وثوق	21.54	4	65
وسنا	18.05	4	65
ومشان	56.8	4	65
وآتوس	-105.96	4	65
وسرمد	13.58	4	66
بخاور	10.4	4	66
آسيا	16.68	1	66
كوثر	12.19	2	66
اتكاي	7.29	2	66
بساما	17.23	2	66
ملت	18.84	1	66
پارسيان	13.74	1	66
وسين	-13.69	4	66
ومعلم	53.19	2	66
نوين	7.33	2	66
بنو	9.28	4	66
وآفري	16.92	4	66
بپاس	16.95	2	66
وحافظ	-18.83	4	66
اتكام	11.2	2	66
دانا	17.51	1	66
البرز	16.1	1	66
ما	6.7	1	66
ودي	4.99	2	66
ميهن	-223.25	2	66
كالا	73.14	1	67
تنوين	5.83	1	67
فرابورس	16.24	2	67
كبورس	15.67	1	67
لوتوس	5.91	1	67
بورس	15.49	1	67
اميد	6.24	1	67
اكالا	235.53	1	67
نكالا	59.15	1	67
سخند	3.69	2	68
وتوس	65.85	1	70
آ س پ	-283.14	2	70
ثشرق	17.37	1	70
ثپرديس	18.98	2	70
ثقزوي	-39.07	4	70
وساخت	-79.17	1	70
ثنظام	362.62	4	70
ثمسكن	22.29	1	70
ثامان	211.92	1	70
ثباغ	28.1	2	70
ثاصفا	4.49	4	70
ثنور	55.71	4	70
ثشاهد	12.92	1	70
ثنام	45.74	4	70
ثاخت	-35.87	1	70
ثالوند	13.85	2	70
وثخوز	-6283	4	70
ثاباد	2277.5	1	70
ثعمرا	35.64	2	70
ثتوسا	229.27	4	70
وآذر	-161.42	1	70
ثزاگرس	-19.75	4	70
ثعتما	53.46	4	70
ثنوسا	-38.1	1	70
ثرود	91.36	2	70
ثفارس	15.7	1	70
ثتران	37.34	2	70
ثغرب	261.13	2	70
ثجوان	27.85	4	70
خبازرس	8.32	4	71
پرداخت	10.87	1	72
آپ	13.25	1	72
تاپكيش	13.56	2	72
مرقام	-33.21	1	72
مداران	16.33	1	72
سيستم	10.23	1	72
فن آوا	22.44	4	72
رتاپ	8.5	1	72
ركيش	9.24	1	72
مفاخر	26.27	2	72
رانفور	10.95	1	72
افرا	15.88	2	72
سپ	15.51	1	72
هاي وب	31.7	1	73
رمپنا	14.92	1	74
رتكو	815.39	1	74
تابا	8.85	4	74
رنيك	17.84	2	74
تپولا	-21.07	4	74
وهنر	7.36	4	90
