نماد	p/e	بازار	گروه
دسانكو	64.72	2	43
دزهراوي	-94.43	1	43
دعبيد	42.42	1	43
ديران	25.54	1	43
دشيري	9.09	4	43
بركت	60.46	1	43
كي بي سي	16.98	2	43
دسينا	14.43	1	43
دتماد	13.25	1	43
دابور	10	1	43
دامين	10.28	1	43
درازك	10.89	1	43
دالبر	12.06	1	43
داسوه	10.77	1	43
پخش	15.03	2	43
دكپسول	15.97	2	43
دكيمي	9.33	1	43
دپارس	9.92	1	43
شفا	11.18	1	43
درهآور	36.63	2	43
دتهران‌	8.95	4	43
دبالك	27.33	2	43
والبر	9	1	43
دفرا	10.07	1	43
دتوليد	28.91	2	43
دفارا	6.31	1	43
دكوثر	17.89	1	43
زنجان	-2176	4	44
شخارك	6.33	1	44
شلرد	-1539.5	4	44
شكف	-2.15	4	44
شسينا	14.73	1	44
مارون	7.19	2	44
شگل	9.46	1	44
شفارا	-155.36	4	44
جم پيلن	5.54	1	44
شغدير	5.35	2	44
نوري	8.3	1	44
داراب	73.55	4	44
شكربن	15.92	1	44
جم	6	1	44
شفارس	59.19	1	44
شدوص	12.11	1	44
شوينده	13.53	1	44
پترول	9.08	1	44
كازرو	-298	4	44
شرنگي	77.94	4	44
ممسني	-335.14	4	44
شفن	3.52	1	44
شاملا	9.98	1	44
پارس	5.57	1	44
ساينا	9.78	2	44
شمواد	-516.98	4	44
خراسان	4.3	1	44
جهرم	88	4	44
شاراك	4.42	1	44
شكلر	11.86	1	44
تاپيكو	6.94	1	44
شلعاب	399.39	1	44
شيراز	5.43	1	44
شتوكا	25.38	2	44
دهدشت	-971.33	4	44
شسم	-47.53	4	44
زاگرس	4.04	2	44
كرماشا	5.54	1	44
فارس	6.33	1	44
شپلي	-12.7	4	44
شجم	19.65	4	44
وپترو	83.58	1	44
شستان	-359.33	4	44
شتولي	-0.61	4	44
شپديس	4.84	1	44
شپاكسا	6.09	1	44
شپارس	15.41	1	44
پارسان	6.13	1	44
فسا	68.67	4	44
شبصير	5.17	2	44
پاكشو	13.45	1	44
شكبير	7.44	4	44
شصفها	3.85	4	44
شپترو	-6.1	4	44
شيران	7.19	1	44
بالاس	22.55	2	45
خصدرا	71.69	4	45
وپسا	322.17	4	45
بميلا	6.22	4	46
افق	17.49	1	47
قاسم	31.59	2	47
كسعدي	19.84	1	49
كصدف	-72.08	4	49
كحافظ	-196.62	1	49
كلوند	13.66	1	49
كپارس	11.04	1	49
كساوه	10.21	1	49
كترام	22.22	1	49
سشمال	10.63	1	53
سبهان	10.56	1	53
سكرد	-2447	1	53
ساربيل	8.68	1	53
سفانو	6.75	1	53
سهگمت	12.22	1	53
سقاين	20.83	1	53
سرود	16.11	1	53
سبزوا	7.28	2	53
سصوفي	14.97	1	53
سنير	15.63	1	53
سيلام	109.73	1	53
ستران	-2320.67	1	53
سمتاز	7.11	4	53
سخزر	7.49	1	53
سكرما	7.89	1	53
سفارس	14.61	1	53
سهرمز	9.83	1	53
سكارون	-7.52	4	53
ساروم	7.47	1	53
ساراب	8.09	1	53
سمازن	13.4	1	53
سيدكو	13.09	1	53
سخواف	-99.78	4	53
سصفها	42.58	1	53
سپاها	198.09	1	53
سجام	-4.94	4	53
سغرب	16.68	1	53
سخوز	8.75	1	53
سلار	729.33	4	53
سدور	2387	1	53
سدشت	60.61	1	53
سشرق	7.05	1	53
سخاش	9.55	1	53
سباقر	10.41	4	53
ساروج	7.49	4	53
سفار	20.77	1	53
كباده	1.35	4	54
كتوكا	7.53	2	54
كگاز	19.32	1	54
كورز	13.38	4	54
كساپا	46.58	1	54
كمينا	71.58	4	54
كفپارس	-59.48	1	54
كپشير	27.28	1	54
كسرام	-43.54	1	54
سپرمي	-4.01	4	54
كهمدا	9.21	1	54
كرازي	9.68	1	54
كمرجان	79.13	2	54
سفاسي	-168	4	54
كاذر	10.97	1	54
كقزوي	21.9	4	54
كفرا	8.84	1	54
كايتا	253.44	4	54
كسرا	25.21	1	54
كخاك	9.86	1	54
سفارود	-6.26	4	54
كابگن	-2.17	4	54
سايرا	-8.5	4	54
گكيش	65.91	4	55
سمگا	-1748.75	2	55
گكوثر	31.82	2	55
گپارس	78.24	4	55
وآداك	1520.4	4	56
وبوعلي	4.61	1	56
وتوسم	3.85	1	56
پرديس	4.11	1	56
وبهمن	11.82	1	56
وسكاب	3.47	1	56
سنوين	770.8	4	56
آريان	25.27	4	56
واتي	7.75	1	56
وايرا	14.05	4	56
وبرق	32.49	4	56
وصنعت	4	1	56
معيار 	-16032	4	56
وساپا	16.03	1	56
وگستر	6.95	2	56
وتوصا	34.05	1	56
وبيمه	34.5	1	56
وشمال	-32.72	4	56
وكادو	27.83	4	56
وملت	47.82	4	56
وسپه	5.72	1	56
فلات	161.58	4	56
وآرين	3.17	4	56
گوهران	4.81	2	56
اعتلا	6.19	2	56
سرچشمه	6.75	2	56
وصنا	4.71	1	56
وسبحان	3.99	2	56
سدبير	11.73	2	56
ونيكي	5.8	1	56
وشهر	-0.6	4	57
وبملت	2.2	1	57
سامان	1.96	4	57
توسعه	12.09	4	57
وگردش	2.74	4	57
وسينا	17.34	1	57
وپاسار	5.46	1	57
وآيند	14.45	4	57
وتجارت	16.24	1	57
وپارس	-5.08	1	57
ونوين	-4.42	1	57
وخاور	4.91	1	57
وملل	2.81	2	57
وكار	11.28	1	57
وبصادر	-6.8	1	57
وزمين	-0.24	4	57
وسالت	-12.35	4	57
وپست	-4.12	1	57
سمايه	-0.07	4	57
ولملت	7.26	1	58
وايران	7.16	1	58
ولغدر	14.92	1	58
ولبهمن	11.31	2	58
ولساپا	10.46	1	58
ولصنم	9.72	1	58
وليز	-26.43	1	58
توريل	9.36	2	60
حرهشا	24.21	4	60
حتوكا	74.88	1	60
حريل	17.05	2	60
حپترو	81.15	1	60
حتايد	7.04	1	60
حفارس	-332.11	1	60
حكشتي	23.78	1	60
حپارسا	24.74	2	60
حسينا	7.79	2	60
حسير	19.49	2	60
حآسا	47.1	2	60
حبندر	2.42	4	60
حاريا	-6.7	4	61
حخزر	14.39	2	61
اخابر	7.87	1	64
همراه	7.64	1	64
واحصا	49.3	4	65
ومشان	54.97	4	65
وارس	14.88	4	65
ولراز	-87.69	4	65
وسنا	17.67	4	65
وثوق	19.74	4	65
وآتوس	-103.94	4	65
واحيا	10.75	4	65
ولشرق	10.43	2	65
ولتجار	-98.87	4	65
بخاور	9.82	4	66
آسيا	16.06	1	66
وسين	-13.82	4	66
بساما	17.28	2	66
دانا	18.4	1	66
وآفري	17.15	4	66
نوين	7.45	2	66
كوثر	11.71	2	66
البرز	16.27	1	66
ورازي	-532.2	4	66
اتكام	11.26	2	66
ما	7.15	1	66
ميهن	-227.12	2	66
پارسيان	14.47	1	66
وحافظ	-19.21	4	66
ومعلم	54.1	2	66
بنو	9.74	4	66
وسرمد	12.2	4	66
ودي	5.35	2	66
ملت	18.84	1	66
بپاس	16.83	2	66
وتعاون	37.63	4	66
اتكاي	7.28	2	66
فرابورس	15.75	2	67
اكالا	215.04	1	67
بورس	15.1	1	67
تنوين	5.92	1	67
لوتوس	5.88	1	67
نكالا	54	1	67
كالا	68.88	1	67
كبورس	14.53	1	67
اميد	6.24	1	67
سخند	3.7	2	68
ثجوان	-41.5	4	70
وتوس	65.9	1	70
كيسون	29.35	4	70
كرمان	24.73	2	70
ثتران	37.52	2	70
ثامان	186.08	1	70
ثنظام	325.55	4	70
ثشرق	19.02	1	70
ثنام	42.72	4	70
ثباغ	27.92	2	70
ثرود	79.51	2	70
ثاصفا	4.11	4	70
ثعتما	57.3	4	70
ثپرديس	19.77	2	70
ثشاهد	13.32	1	70
وثخوز	-5774.33	4	70
ثنوسا	-34.54	1	70
ثغرب	250.88	2	70
ثتوسا	216.96	4	70
ثاخت	-38.09	1	70
آ س پ	-285.57	2	70
وآذر	-150.22	1	70
ثالوند	13.68	2	70
ثزاگرس	-20.31	4	70
ثاباد	2268	1	70
وساخت	-67.98	1	70
ثفارس	16.82	1	70
ثمسكن	22.52	1	70
ثعمرا	37.71	2	70
خبازرس	7.69	4	71
پرداخت	11.07	1	72
مفاخر	25.26	2	72
آپ	12.94	1	72
سپ	15.03	1	72
تاپكيش	13.18	2	72
سيستم	10.47	1	72
رتاپ	8.91	1	72
رانفور	11.25	1	72
ركيش	9.36	1	72
افرا	14.77	2	72
مداران	16.77	1	72
مرقام	-34.14	1	72
فن آوا	23.75	4	72
اوان	97.46	2	73
هاي وب	32.2	1	73
رنيك	16.91	2	74
رمپنا	15.34	1	74
تابا	8.49	4	74
خفولا	44.58	4	74
تپولا	-22	4	74
رتكو	717.39	1	74
وهنر	7.56	4	90
