نماد	p/e	بازار	گروه
غشوكو	22.66	4	42
غيوان	-23.22	4	42
دقاضي	19.38	4	43
وپخش	11.87	1	43
دابور	10.87	1	43
كي بي سي	18.08	2	43
بركت	66.13	1	43
دفرا	11.02	1	43
دتوليد	31.3	2	43
دتماد	14.43	1	43
دالبر	13.08	1	43
دبالك	29.66	2	43
دشيري	8.83	4	43
دعبيد	41.74	1	43
دسانكو	70.19	2	43
كاسپين	10.2	2	43
درازك	11.76	1	43
ديران	27.76	1	43
شتهران	8.17	4	43
دتوزيع	18.69	2	43
والبر	9.81	1	43
دكيمي	9.63	1	43
دزهراوي	-101.47	1	43
دسبحان	11.34	1	43
دپارس	9.93	1	43
دتهران‌	8.95	4	43
داوه	41.83	2	43
شفا	11.28	1	43
دسبحا	11.77	1	43
دفارا	6.24	1	43
دجابر	12.65	1	43
دلقما	46.49	1	43
دارو	10.13	1	43
دشيمي	22.93	1	43
دكپسول	16.84	2	43
هجرت	11.53	2	43
درهآور	39.81	2	43
ددام	91.48	1	43
ريشمك	19.63	2	43
دلر	8.42	1	43
پخش	16.19	2	43
داسوه	11.28	1	43
دكوثر	18.61	1	43
تيپيكو	8.91	1	43
دسينا	15.29	1	43
دحاوي	10.88	4	43
دروز	78.23	1	43
دامين	9.74	1	43
شيران	7.39	1	44
شاراك	4.82	1	44
شگل	9.16	1	44
شفارس	59.1	1	44
شاملا	9.78	1	44
داراب	73	4	44
كازرو	-281.4	4	44
شپلي	-13.45	4	44
شفارا	-158.18	4	44
پترول	8.83	1	44
فارس	6.33	1	44
شپارس	15.37	1	44
جم	5.95	1	44
پارس	5.46	1	44
شغدير	5.32	2	44
شكربن	17.27	1	44
شكبير	7.35	4	44
وپترو	85.63	1	44
مارون	7.05	2	44
شلرد	-1610.5	4	44
جم پيلن	5.51	1	44
خراسان	4.27	1	44
شجم	19.22	4	44
شخارك	6.1	1	44
شكلر	11.52	1	44
شبصير	5.02	2	44
شسم	-47.65	4	44
شوينده	12.93	1	44
نوري	8.06	1	44
شتولي	-0.6	4	44
شكف	-2.12	4	44
پاكشو	14.45	1	44
تاپيكو	6.83	1	44
پارسان	6.32	1	44
زاگرس	3.98	2	44
جهرم	88	4	44
شدوص	11.75	1	44
ساينا	9.18	2	44
كرماشا	5.45	1	44
شمواد	-544.42	4	44
شتوكا	24.18	2	44
شيراز	5.43	1	44
شلعاب	429.25	1	44
شپديس	4.8	1	44
شصفها	3.77	4	44
ممسني	-361.86	4	44
زنجان	-2205	4	44
شفن	3.48	1	44
شسينا	16.2	1	44
شرنگي	76.29	4	44
شپترو	-5.91	4	44
شپاكسا	5.75	1	44
فسا	70.25	4	44
شستان	-366.33	4	44
وپسا	324.5	4	45
خصدرا	76.26	4	45
بالاس	23.48	2	45
بميلا	6.27	4	46
قاسم	34.22	2	47
افق	17.3	1	47
كصدف	-74.97	4	49
كساوه	10.26	1	49
كپارس	12	1	49
كلوند	14.85	1	49
كحافظ	-216.76	1	49
كسعدي	20.66	1	49
كترام	23.5	1	49
سفار	20.77	1	53
سكرما	7.78	1	53
سنير	16.17	1	53
ساروم	7.83	1	53
ساربيل	8.98	1	53
سقاين	22.79	1	53
سيدكو	13.28	1	53
سخواف	-95.16	4	53
سصفها	45.73	1	53
سمازن	14.08	1	53
سشمال	10.49	1	53
سباقر	10.55	4	53
سكرد	-2613	1	53
سهگمت	12.95	1	53
سكارون	-7.92	4	53
سيلام	119.61	1	53
سبهان	10.53	1	53
سفارس	15.15	1	53
سجام	-5.3	4	53
سخزر	8.21	1	53
ستران	-2534.5	1	53
سهرمز	10.3	1	53
سغرب	17.3	1	53
سخوز	8.65	1	53
سمتاز	7.54	4	53
سبزوا	7.71	2	53
سصوفي	14.7	1	53
سدور	2566	1	53
ساروج	7.76	4	53
سلار	743.33	4	53
سدشت	37.94	1	53
سشرق	7.86	1	53
سخاش	9.06	1	53
سرود	15.21	1	53
ساراب	8.27	1	53
سفانو	6.58	1	53
سپاها	212.55	1	53
كپشير	29.98	1	54
كقزوي	21.07	4	54
كاذر	11.24	1	54
كسرام	-45.57	1	54
سايرا	-8.78	4	54
كايتا	263.61	4	54
كگاز	21.17	1	54
كباده	1.35	4	54
كتوكا	7.69	2	54
كخاك	9.91	1	54
سفاسي	-177.94	4	54
كفرآور	-55.81	4	54
كهمدا	9.24	1	54
كفرا	8.92	1	54
سفارود	-6.05	4	54
كساپا	45.56	1	54
كرازي	9.79	1	54
كسرا	25.52	1	54
كمرجان	79.71	2	54
سپرمي	-3.97	4	54
كابگن	-2.11	4	54
كفپارس	-64.6	1	54
كمينا	71.86	4	54
سمگا	-1724.75	2	55
گكيش	69.88	4	55
گكوثر	34.15	2	55
گپارس	79.96	4	55
وبيمه	34.91	1	56
وساپا	16.49	1	56
وسكاب	3.35	1	56
وآداك	1504.6	4	56
وتوصا	32.84	1	56
وجامي	16.02	4	56
وايرا	13.65	4	56
واعتبار	6.18	1	56
اعتلا	6.29	2	56
وگستر	6.7	2	56
وبوعلي	4.44	1	56
سنوين	770.8	4	56
معيار 	-15555	4	56
وصنعت	4.02	1	56
ونيكي	5.78	1	56
وسپه	5.95	1	56
وآرين	3.02	4	56
وصنا	4.99	1	56
واتي	7.91	1	56
پرديس	4.05	1	56
وتوسم	3.97	1	56
گوهران	4.79	2	56
سدبير	12.66	2	56
وملت	50.21	4	56
آريان	24.44	4	56
وخارزم	11.04	1	56
وسبحان	4.07	2	56
وشمال	-34.03	4	56
وبهمن	11.82	1	56
فلات	158.33	4	56
وبرق	34.19	4	56
وكادو	27.58	4	56
سرچشمه	6.6	2	56
وپاسار	5.15	1	57
وسينا	16.56	1	57
وبصادر	-6.7	1	57
وآيند	14.43	4	57
ونوين	-4.24	1	57
وخاور	4.87	1	57
سمايه	-0.07	4	57
وكار	11.38	1	57
توسعه	12.09	4	57
وگردش	2.69	4	57
وشهر	-0.58	4	57
وسالت	-12.85	4	57
وبملت	2.09	1	57
سامان	1.87	4	57
وپارس	-4.91	1	57
وپست	-4.12	1	57
وتجارت	16.14	1	57
ولغدر	16.29	1	58
ولملت	7.44	1	58
وليز	-28.44	1	58
ولصنم	9.97	1	58
ولبهمن	12.45	2	58
ولساپا	11.13	1	58
وايران	7.28	1	58
حتوكا	79.59	1	60
حكشتي	21.8	1	60
حريل	18.09	2	60
حرهشا	25.58	4	60
حآسا	47.66	2	60
حسينا	7.82	2	60
حپترو	81.71	1	60
حبندر	2.29	4	60
توريل	8.94	2	60
حسير	18.47	2	60
حپارسا	25.19	2	60
حفارس	-321	1	60
حتايد	6.91	1	60
حخزر	13.65	2	61
حاريا	-6.64	4	61
اخابر	7.84	1	64
همراه	7.68	1	64
ولتجار	-105.11	4	65
وسنا	18.59	4	65
وثوق	20.92	4	65
ولانا	57.64	4	65
ولراز	-94.11	4	65
وآتوس	-107.14	4	65
ولشرق	10.68	2	65
واحيا	11.28	4	65
وثنو	16.12	4	65
واحصا	49.76	4	65
وارس	14.98	4	65
ومشان	57.58	4	65
كوثر	11.62	2	66
ومعلم	53.37	2	66
اتكاي	7.31	2	66
پارسيان	14.25	1	66
نوين	7.44	2	66
البرز	16.33	1	66
ملت	19.69	1	66
ما	6.82	1	66
وسين	-13.98	4	66
بساما	17.66	2	66
ميهن	-230	2	66
آسيا	16.03	1	66
وآفري	17.05	4	66
وحافظ	-18.33	4	66
ودي	5.35	2	66
وسرمد	13.19	4	66
اتكام	11.24	2	66
بنو	9.44	4	66
بخاور	10.44	4	66
بپاس	17.09	2	66
دانا	18.17	1	66
اميد	6.26	1	67
فرابورس	16.44	2	67
بورس	15.67	1	67
كالا	71.97	1	67
لوتوس	5.94	1	67
تنوين	5.86	1	67
كبورس	15.34	1	67
اكالا	226.69	1	67
نكالا	56.93	1	67
سخند	3.7	2	68
ثاصفا	4.36	4	70
ثمسكن	23.27	1	70
ثباغ	27.5	2	70
كيسون	30.83	4	70
ثامان	202.08	1	70
وثخوز	-6100	4	70
ثعمرا	36.71	2	70
ثزاگرس	-20.18	4	70
ثالوند	14.11	2	70
آ س پ	-283.29	2	70
ثعتما	54.75	4	70
ثاخت	-37.57	1	70
ثغرب	273.5	2	70
ثرود	87.14	2	70
ثنظام	352.07	4	70
وآذر	-153.74	1	70
ثپرديس	19.77	2	70
وتوس	68.05	1	70
ثتوسا	222.69	4	70
ثنام	44.87	4	70
ثشرق	17.91	1	70
ثشاهد	13	1	70
ثتران	38.66	2	70
ثاباد	2343.5	1	70
ثجوان	-39.17	4	70
ثفارس	16.24	1	70
ثنوسا	-37.44	1	70
خبازرس	8	4	71
ركيش	9.61	1	72
رانفور	11.19	1	72
تاپكيش	13.92	2	72
فن آوا	23	4	72
آپ	13.89	1	72
سپ	15.74	1	72
مفاخر	25.73	2	72
افرا	15.81	2	72
رتاپ	8.9	1	72
پرداخت	10.82	1	72
سيستم	10.29	1	72
هاي وب	32.14	1	73
رنيك	17.49	2	74
رمپنا	15.25	1	74
تپولا	-21.35	4	74
رتكو	781.43	1	74
تابا	9.08	4	74
وهنر	7.35	4	90
