نماد	p/e	بازار	گروه
لخانه	31.37	4	29
تپمپي	15.51	1	29
لبوتان	23.03	1	29
تفيرو	-16.27	4	29
نيرو	11.67	4	31
بسويچ	17.3	1	31
بايكا	-13.49	4	31
بكاب	77.65	1	31
بنيرو	13.31	1	31
بترانس	15.1	1	31
بشهاب	11.34	1	31
بتك	216.73	4	31
بالبر	57.38	1	31
بموتو	7.63	1	31
بكام	72.32	1	31
لپارس	28.58	1	32
لپيام	47.43	4	32
خديزل	7.07	2	34
خنصير	34.77	1	34
خمحركه	34.85	1	34
خاور	-0.54	4	34
خاذين	-16.09	1	34
خپارس	-1.37	1	34
خچرخش	114.96	1	34
خلنت	16.76	1	34
خزر	30.57	1	34
خساپا	-1.13	1	34
خكمك	1679.33	1	34
خوساز	191.33	1	34
خريخت	-34.08	1	34
خرينگ	157.24	1	34
خگستر	278.94	1	34
ختور	18.04	1	34
خفنر	34.17	1	34
خمهر	-7.31	1	34
خموتور	30.71	1	34
خفناور	-109.74	4	34
خاهن	39.39	1	34
خمحور	62.09	1	34
ورنا	15	1	34
خبهمن	6.6	1	34
خكار	21.78	1	34
خعمرا	-28.57	4	34
خپويش	10.11	1	34
خشرق	479.88	1	34
خكاوه	-0.86	4	34
خودرو	-0.96	1	34
تشتاد	-81.45	4	34
ختراك	13.58	1	34
خزاميا	-12.8	1	34
ختوقا	105.83	1	34
قهكمت	10.4	1	38
قمرو	14.52	1	38
قشير	29.28	2	38
قزوين	11.16	1	38
قنقش	34.9	4	38
قپيرا	20.68	1	38
قشرين	113.07	4	38
قاروم	3.23	4	38
قثابت	304	1	38
قشكر	277.65	1	38
قنيشا	18.1	1	38
قصفها	15.7	1	38
قشهد	15.09	1	38
قلرست	24.84	1	38
واميد	7.98	1	39
وصندوق	4.96	1	39
وغدير	8.57	1	39
وبانك	5.11	1	39
بكهنوج	-17.59	2	40
ونيرو	17.55	1	40
وهور	23.5	2	40
دماوند	58.06	2	40
مبين	4.97	1	40
بمپنا	40.44	2	40
بفجر	6.1	1	40
بجهرم	137.61	2	40
بزاگرس	22.87	2	40
تبرك	9.92	2	42
غدام	15.33	1	42
غگل	17.5	1	42
غبشهر	12.51	1	42
غدشت	209.54	1	42
غچين	21.48	1	42
غويتا	19.99	2	42
غبهنوش	42.43	1	42
غنيلي	-51.61	2	42
غگلپا	17.69	2	42
غديس	15.94	2	42
غگلستا	89.02	2	42
غفارس	58.26	2	42
غپآذر	98.67	2	42
غگز	-17.03	2	42
غشهد	3.18	1	42
غسالم	42.3	1	42
بهپاك	14.75	2	42
غاذر	21.16	1	42
خودكفا	28.45	4	42
وبشهر	10.58	1	42
غپينو	19.43	1	42
غپاك	-44.21	1	42
غشاذر	39.98	1	42
غپونه	13.55	4	42
غنوش	97.19	1	42
غمارگ	17.4	1	42
غمينو	14.13	2	42
غالبر	24.74	1	42
غشهداب	7.17	2	42
غمهرا	24.83	1	42
غشوكو	20.38	4	42
غگرجي	19.61	1	42
غصينو	14.95	4	42
غشان	40.34	1	42
غشصفا	18.02	1	42
غيوان	-22.77	4	42
دتوليد	27.54	2	43
دحاوي	10.23	4	43
دسبحان	9.91	1	43
دبالك	26.03	2	43
دجابر	11.94	1	43
دسانكو	61.66	2	43
دشيمي	20.08	1	43
داسوه	10.34	1	43
هجرت	11.37	2	43
تيپيكو	8.42	1	43
دالبر	11.49	1	43
ريشمك	18.28	2	43
كي بي سي	16.18	2	43
دشيري	8.83	4	43
بركت	58.77	1	43
داوه	39.51	2	43
دتماد	12.62	1	43
دكپسول	15.27	2	43
دلقما	44.44	1	43
دامين	9.94	1	43
وپخش	10.7	1	43
دفرا	9.73	1	43
دكيمي	8.89	1	43
شتهران	8.17	4	43
والبر	8.57	1	43
پخش	14.32	2	43
دقاضي	18.46	4	43
دسبحا	10.49	1	43
كاسپين	9.16	2	43
دفارا	6.01	1	43
شفا	10.65	1	43
دلر	8.07	1	43
دكوثر	16.26	1	43
ددام	81.05	1	43
دروز	73.38	1	43
درازك	10.37	1	43
دتوزيع	19.01	2	43
درهآور	34.89	2	43
دزهراوي	-89.94	1	43
دارو	9.37	1	43
ديران	24.32	1	43
دعبيد	40.44	1	43
دسينا	13.97	1	43
دپارس	9.45	1	43
دابور	9.52	1	43
شغدير	5.16	2	44
شپلي	-12.1	4	44
پترول	8.83	1	44
شستان	-265	4	44
پارسان	6.11	1	44
شخارك	6.34	1	44
شپترو	-5.93	4	44
شبصير	5.13	2	44
شسم	-46.6	4	44
شدوص	11.53	1	44
شوينده	13.3	1	44
وپترو	79.61	1	44
شفن	3.54	1	44
جم پيلن	5.55	1	44
شصفها	3.78	4	44
فارس	6.34	1	44
تاپيكو	6.96	1	44
پاكشو	13.28	1	44
داراب	60.46	4	44
شفارس	56.47	1	44
شكربن	15.17	1	44
شكف	-2.2	4	44
ممسني	-325.43	4	44
زاگرس	4.02	2	44
شگل	9.11	1	44
شسينا	14.38	1	44
شيران	6.86	1	44
شاراك	4.41	1	44
خراسان	4.3	1	44
شكبير	7.24	4	44
فسا	66.75	4	44
شجم	19.63	4	44
شلرد	-1498	4	44
شكلر	10.81	1	44
شپديس	4.77	1	44
پارس	5.64	1	44
زنجان	-2113	4	44
شاملا	9.73	1	44
نوري	8.42	1	44
شمواد	-492.37	4	44
كازرو	-305	4	44
ساينا	9.52	2	44
جم	6.07	1	44
كرماشا	5.53	1	44
شتوكا	24.1	2	44
شيراز	5.41	1	44
شلعاب	380.39	1	44
مارون	7.11	2	44
شفارا	-150.91	4	44
شرنگي	78.01	4	44
دهدشت	-955.33	4	44
شتولي	-0.62	4	44
جهرم	77.7	4	44
شپارس	14.79	1	44
شپاكسا	6.06	1	44
بالاس	21.54	2	45
وپسا	312.83	4	45
خصدرا	69.61	4	45
بميلا	6.24	4	46
قاسم	30.17	2	47
افق	17.49	1	47
كساوه	10.01	1	49
كهرام	-48.91	4	49
كصدف	-70.67	4	49
كلوند	13.19	1	49
كحافظ	-196.64	1	49
كسعدي	18.9	1	49
كترام	21.16	1	49
كپارس	10.51	1	49
سخاش	9.38	1	53
ساربيل	8.26	1	53
سرود	15.63	1	53
سيدكو	12.52	1	53
سفانو	6.47	1	53
سخواف	-97.19	4	53
سغرب	15.92	1	53
سلار	708.11	4	53
سدشت	59.37	1	53
سصفها	43.06	1	53
سخزر	7.14	1	53
سفار	20.77	1	53
سهگمت	11.59	1	53
ساروم	7.31	1	53
سمازن	12.77	1	53
سكارون	-7.35	4	53
سباقر	10.1	4	53
سمتاز	6.9	4	53
سدور	2274	1	53
سفارس	13.98	1	53
سكرما	7.53	1	53
ساراب	7.71	1	53
سخوز	8.42	1	53
سپاها	188.73	1	53
سجام	-4.79	4	53
ساروج	7.32	4	53
سبهان	10.06	1	53
سصوفي	14.38	1	53
ستران	-2210.17	1	53
سشمال	10.13	1	53
سبزوا	6.94	2	53
سنير	14.97	1	53
سكرد	-2331	1	53
سشرق	9.8	1	53
سهرمز	9.48	1	53
سقاين	20.5	1	53
سيلام	104.58	1	53
سايرا	-8.33	4	54
كاذر	10.44	1	54
كابگن	-2.17	4	54
كمرجان	75.43	2	54
كخاك	9.55	1	54
كباده	1.35	4	54
كرازي	9.26	1	54
كپشير	25.98	1	54
كفرا	8.42	1	54
سفاسي	-160	4	54
كفپارس	-56.65	1	54
كگاز	18.4	1	54
كورز	13.38	4	54
كقزوي	21.3	4	54
سفارود	-6.67	4	54
كسرا	24.01	1	54
كايتا	248.54	4	54
كساپا	44.83	1	54
كسرام	-41.61	1	54
سپرمي	-4.01	4	54
كتوكا	7.36	2	54
كهمدا	8.78	1	54
گكوثر	30.3	2	55
سمگا	-1661.25	2	55
گكيش	63.99	4	55
گپارس	75.96	4	55
وآرين	3.14	4	56
سدبير	11.48	2	56
وسبحان	3.84	2	56
آريان	24.55	4	56
وسپه	5.57	1	56
ونيكي	5.7	1	56
معيار 	-16032	4	56
وبوعلي	4.56	1	56
وصنا	4.56	1	56
وصنعت	3.94	1	56
سرچشمه	6.51	2	56
وتوسم	3.71	1	56
وساپا	15.27	1	56
واتي	7.45	1	56
وشمال	-31.81	4	56
وتوصا	32.49	1	56
وكادو	27.09	4	56
وبيمه	33.02	1	56
وملت	46.43	4	56
وگستر	6.63	2	56
وخارزم	10.69	1	56
فلات	156.94	4	56
وايرا	13.64	4	56
اعتلا	5.9	2	56
وسكاب	3.45	1	56
گوهران	4.6	2	56
پرديس	3.92	1	56
وبرق	31.56	4	56
وآداك	1480.1	4	56
سنوين	770.8	4	56
وگردش	2.72	4	57
وسينا	17.16	1	57
توسعه	11.91	4	57
وسالت	-12.6	4	57
سامان	1.91	4	57
وپاسار	5.33	1	57
وپارس	-4.98	1	57
سمايه	-0.06	4	57
وبملت	2.19	1	57
وزمين	-0.23	4	57
وتجارت	16.34	1	57
وآيند	14.23	4	57
ونوين	-4.22	1	57
وخاور	4.86	1	57
وبصادر	-6.86	1	57
وملل	2.84	2	57
وشهر	-0.59	4	57
وكار	10.97	1	57
وپست	-3.92	1	57
ولملت	6.91	1	58
ولصنم	9.26	1	58
ولبهمن	10.78	2	58
ولساپا	10.02	1	58
وليز	-25.17	1	58
وايران	6.84	1	58
ولغدر	14.21	1	58
حتايد	6.76	1	60
حفارس	-318	1	60
حسير	18.67	2	60
توريل	9.05	2	60
حپارسا	23.56	2	60
حكشتي	23	1	60
حرهشا	23.5	4	60
حريل	16.26	2	60
حسينا	7.42	2	60
حآسا	44.89	2	60
حبندر	2.35	4	60
حتوكا	71.31	1	60
حپترو	77.29	1	60
حخزر	12.75	2	61
حاريا	-8.16	4	61
اخابر	7.86	1	64
همراه	7.64	1	64
وسنا	17.16	4	65
ولشرق	9.94	2	65
واحصا	47.87	4	65
ومشان	53.69	4	65
وارس	14.48	4	65
ولراز	-85.14	4	65
وآتوس	-101.04	4	65
وثوق	19.17	4	65
ولتجار	-96	4	65
واحيا	10.45	4	65
البرز	15.68	1	66
وتعاون	37.5	4	66
ملت	17.94	1	66
ميهن	-216.37	2	66
دانا	17.53	1	66
ومعلم	51.56	2	66
وسرمد	11.84	4	66
بساما	15.73	2	66
اتكام	11.03	2	66
نوين	6.35	2	66
ورازي	-521.8	4	66
آسيا	15.55	1	66
بخاور	9.53	4	66
پارسيان	13.8	1	66
وحافظ	-18.3	4	66
ودي	5.11	2	66
اتكاي	7.13	2	66
بنو	9.48	4	66
وسين	-13.42	4	66
وآفري	17.16	4	66
ما	6.84	1	66
بپاس	16.64	2	66
كوثر	11.32	2	66
اميد	6.2	1	67
كالا	65.71	1	67
كبورس	14.44	1	67
بورس	14.53	1	67
نكالا	52.63	1	67
لوتوس	5.82	1	67
فرابورس	15.1	2	67
تنوين	5.67	1	67
اكالا	209.56	1	67
سخند	3.69	2	68
آ س پ	-272	2	70
ثاخت	-36.48	1	70
وساخت	-64.75	1	70
ثامان	177.23	1	70
ثغرب	239	2	70
ثاصفا	3.92	4	70
ثعمرا	37.25	2	70
ثنظام	316.07	4	70
ثباغ	26.61	2	70
ثاباد	2164	1	70
ثمسكن	21.52	1	70
ثعتما	55.68	4	70
ثتوسا	211.69	4	70
ثرود	75.73	2	70
ثپرديس	18.96	2	70
ثتران	35.75	2	70
ثنوسا	-32.9	1	70
وآذر	-145.18	1	70
ثالوند	13.04	2	70
كرمان	23.55	2	70
ثزاگرس	-19.71	4	70
ثنام	40.7	4	70
ثشرق	18.5	1	70
ثشاهد	12.83	1	70
ثفارس	16.39	1	70
وتوس	62.85	1	70
وثخوز	-5628.67	4	70
خبازرس	7.54	4	71
افرا	14.07	2	72
سپ	14.8	1	72
مداران	16.05	1	72
رانفور	11.32	1	72
رتاپ	8.49	1	72
تاپكيش	12.59	2	72
آپ	12.32	1	72
ركيش	8.91	1	72
مفاخر	24.18	2	72
فن آوا	23.07	4	72
پرداخت	10.73	1	72
سيستم	10.13	1	72
مرقام	-33.15	1	72
هاي وب	31.78	1	73
اوان	93.87	2	73
رتكو	683.39	1	74
تپولا	-21.59	4	74
تابا	8.24	4	74
خفولا	43.29	4	74
رنيك	16.26	2	74
رمپنا	14.98	1	74
وهنر	7.51	4	90
